Customer Name,uid,business sector,location,phone number,national ID,passport,tin,gender,education level,business start date
Alice William,af520c74-f00f-489c-83fb-162a2182c982,Manufacturing,Mbale,+256727100198,64662823,U5294044,4097917,Male,University,2019-02-11
James Jane,ab01d403-c584-4564-878c-2d8d1578dbf6,Agriculture,Kampala,+256767213503,82081572,U8315561,9106892,Female,Primary,2017-05-06
Sarah Namwalwa,e89747e8-f128-4dc9-a0c8-b5b947961d15,Fisheries,Kampala,+256793762636,45440464,U5295386,2556629,Female,University,2023-09-16
Sarah Namwalwa,4edf5818-54b7-48a5-b9eb-90a79dd41e78,Fisheries,Mbarara,+256777102976,93430153,U5907225,1271375,Male,Secondary,2023-01-04
Sarah Nakinobe,d164c0ca-78ae-45c0-b4cc-1115f3ffde9a,Services,Jinja,+256784053112,97720543,U7896622,5226951,Male,Primary,2021-09-03
Sarah Nakinobe,1feb6fb3-0cf5-436b-93d1-3c0f0ac420ec,Services,Kampala,+256724423144,71932017,U6763908,3096268,Female,Primary,2017-03-15
James William,7bce313a-6c48-4b6d-908d-374165b6132b,IT,Bwindi,+256706303870,23372737,U6955859,4413271,Male,University,2022-08-23
Jane Nansukusa,926bc71f-08d3-4094-9dd1-737f1c562a5f,Services,Entebbe,+256778979898,86849140,U2652657,7006263,Female,Secondary,2012-08-29
James Namwalwa,8838a8b9-3a43-4c5e-8a9e-6f700192887c,IT,Entebbe,+256795221453,71210959,U7254743,8850699,Male,Primary,2018-04-16
Florence James,3e2c1f5b-1cae-4ac8-8075-57013c0c8c6e,Fisheries,Kampala,+256721417761,82128689,U1222446,9066179,Male,Secondary,2006-02-28
Alice Sarah,8608b7b3-30ad-47e4-a49b-bfb9bce4a076,Hospitality,Bwindi,+256761197284,32616417,U9714931,5802687,Female,University,2021-02-28
James James,2e497e80-3f67-48d8-ac51-e8601d497ff9,Fisheries,Fort Portal,+256731314145,47556528,U9262183,7146589,Male,University,2016-05-26
Florence Sarah,43ab01bd-98fe-494a-aa85-e38a30548b0f,Manufacturing,Jinja,+256710481386,44420210,U5671461,1492892,Female,University,2021-07-12
Jane Namwalwa,26092f75-1a26-436c-8029-c9e76212f769,Hospitality,Gulu,+256716824409,38110305,U6947496,6983767,Male,University,2007-07-07
James Bridget,b1c4541e-bf60-4e58-9900-3875bac98560,Manufacturing,Gulu,+256751523656,21604250,U5528761,2744196,Female,Secondary,2009-07-30
Nakinobe Sarah,1ee0c3a1-a312-4fac-b02a-0cb50f2b5716,Agriculture,Mbarara,+256704376668,33356539,U5319802,4203493,Female,Vocational,2014-06-16
William Alice,beed575d-26eb-496f-b233-8ca14f047d02,IT,Kisoro,+256742887677,46891210,U7100310,8123475,Male,Secondary,2003-11-02
Sarah William,440e598e-7eba-4cd1-9023-e09e6771252a,IT,Lira,+256739370459,87019459,U8895795,4460547,Female,Vocational,2009-08-30
Alice Sarah,61cc6f2e-e4c9-4dc0-bb84-20adbad70a25,Fisheries,Fort Portal,+256773681691,53894605,U4926052,8381166,Female,University,2022-04-24
Sarah Alice,01b35303-b290-4c1f-a974-db22dcae2291,Hospitality,Kampala,+256738666494,62022118,U7125483,4599784,Female,Primary,2006-11-10
James Alice,415249a8-8ae4-464a-a13e-aa3f2db52575,Fisheries,Entebbe,+256735488137,53848553,U2753738,9960175,Female,Secondary,2009-12-18
Namwalwa James,f684b8c8-2b12-4a3d-98f0-e946964cfebc,IT,Gulu,+256760434984,88791187,U2626312,1074495,Female,Secondary,2016-07-29
Sarah Nansukusa,0ded0723-5723-4c19-ad84-acc83856442d,Hospitality,Entebbe,+256763672291,24963302,U4468761,8536114,Male,Secondary,2011-10-03
William Namwalwa,6aa23dac-a8aa-4424-a7b3-78fb184a7b8b,Hospitality,Entebbe,+256775309810,53521047,U2722173,6252636,Female,University,2004-10-17
Alice Nakinobe,6860697b-b5bd-446a-9f71-0a399967fd61,Manufacturing,Mbale,+256766364279,67523094,U2536314,1110980,Female,Vocational,2019-09-15
Jane Sarah,026eb1f2-0d21-4e0e-a4e0-966fbf84bd0f,Services,Gulu,+256727649724,71741138,U1996047,1210803,Male,Primary,2016-09-04
Sarah Jane,89e260a9-1b45-4fb5-8178-78400bb8b21a,Manufacturing,Jinja,+256763973997,25496457,U5429427,5746696,Male,Primary,2005-04-11
Sarah William,79f42432-d103-4416-a9fc-e363810138ce,Hospitality,Mbale,+256799362876,57442840,U6608953,6788315,Male,Vocational,2020-06-07
Nakinobe Jane,89e1c1d6-5747-477c-a92c-fd59eeca0595,Services,Lira,+256764061678,45798202,U8961715,3505767,Male,Vocational,2013-12-27
William Sarah,b3e9a27e-3153-4c98-81b7-16fd750e2bfb,Services,Kampala,+256791247926,43210351,U8599159,3270467,Female,Primary,2007-03-21
Sarah Sarah,577f9d89-18cc-4b4c-8b51-2a9928f3bb5a,Manufacturing,Kampala,+256767693652,78697712,U3442706,3514890,Male,Primary,2010-12-29
James William,32801c57-6917-45a9-aead-42a9076926f2,Fisheries,Kampala,+256796905666,95027382,U6859302,2600402,Male,Primary,2017-04-15
James Namwalwa,589e98af-ca67-49b7-b381-c2ab52d53fa0,Hospitality,Bwindi,+256737869916,12709797,U2828277,1586130,Male,Vocational,2018-05-28
William Alice,9d0ec577-a418-4da8-abc7-c41554d643c7,Services,Mbale,+256708020391,55308601,U5493957,4367264,Male,Primary,2011-01-05
James Namwalwa,a6fd52a6-6a03-458b-8eca-3179bff3b57f,Retail,Jinja,+256795668617,15411465,U8099207,4321372,Male,Primary,2021-08-13
Namwalwa Nakinobe,3977185b-6c59-41ed-88d8-a6d59976c342,IT,Bwindi,+256703505738,97510395,U4184776,5932048,Male,University,2017-10-24
Namwalwa Nansukusa,86a08bb4-b5de-44a6-bdb7-8c14f0160067,Retail,Fort Portal,+256737750179,30530091,U5347051,4911655,Male,University,2007-08-03
Nakinobe James,2ebb7999-12ea-4f4a-9710-0b2f347ea383,Hospitality,Kisoro,+256763686207,53741395,U1668342,5397562,Male,University,2007-09-08
Jane Bridget,70433596-ec42-4e34-8ccb-d894028b3932,IT,Jinja,+256763306438,76737570,U4903702,3043580,Male,University,2018-09-13
Nakinobe Nakinobe,33e3504d-52d4-42f4-b95e-f00237a0d23a,Hospitality,Mbale,+256712500393,41259423,U1093854,1004758,Male,University,2006-10-23
Bridget Florence,37f85bf0-d734-4688-bed2-176ab57ef4d4,IT,Kisoro,+256797757421,99971472,U8214335,6948659,Female,Vocational,2022-03-28
Bridget James,5b00c628-3b73-4d5d-9e7d-b4afdf2da74d,Retail,Lira,+256745754734,79668483,U3939049,6423208,Female,Primary,2022-01-23
James Namwalwa,3475d38b-bc5d-4b21-98f5-51a3332c1da9,Agriculture,Mbarara,+256759186072,40630985,U7772062,4713721,Male,University,2015-02-28
Nansukusa Sarah,466e3e39-ac44-4c37-9e00-218d4b05261e,Services,Mbale,+256771564561,44712312,U7585403,7181048,Female,Vocational,2004-07-07
Jane Florence,55c1029e-d10d-453c-8bbc-23097206090e,Agriculture,Jinja,+256703255316,90424786,U1278845,6015900,Female,Secondary,2004-03-20
Florence Sarah,c0ec804d-0a27-438f-a563-325c90b25d97,IT,Gulu,+256764173841,21537371,U8845656,7578779,Male,Primary,2004-02-28
Bridget Jane,bb157c08-a237-4715-86e0-68c1ab07fb6d,Retail,Gulu,+256729628433,63422144,U8591918,4797740,Female,University,2010-11-07
William James,b0a92375-0e17-4db8-8ad4-8b1e3ed27aad,Manufacturing,Lira,+256712952618,96582876,U5476789,5330121,Male,Secondary,2017-01-10
Florence Nakinobe,64d16b0f-c1a2-486a-b401-c38eec2c821e,Retail,Fort Portal,+256773651607,65120710,U2801641,6549296,Male,Vocational,2008-11-03
James Namwalwa,86c0cc0d-fa18-49a6-8147-673d741a9646,IT,Bwindi,+256784999826,49693987,U9307540,4820687,Male,Secondary,2018-04-05
Florence William,3e38377b-5a68-44c5-80f0-b3f373eb7f5c,Agriculture,Jinja,+256772513371,65348566,U8267381,9457908,Male,Primary,2008-10-27
William Florence,d15aab3a-eb68-43d4-8220-16256486d8bf,Fisheries,Kisoro,+256772613902,49412492,U7594055,1332443,Male,Primary,2020-07-08
Nansukusa Nansukusa,0516d516-e391-49a4-8cd9-a2811a346fd0,Agriculture,Entebbe,+256706207700,26908154,U4082105,2211419,Female,Vocational,2011-12-04
Alice Nansukusa,f4b46482-bf75-441b-b8b4-0e0d6e8af762,Fisheries,Kisoro,+256745350526,78691072,U9167702,2442725,Female,Primary,2018-02-03
James Jane,b7312bb9-66de-4273-b295-5ee11418b572,Manufacturing,Entebbe,+256704634288,10097162,U8880864,9486284,Male,Primary,2008-06-04
Nakinobe Bridget,260a03b0-202b-4af0-84d4-ff3beccb386a,Services,Jinja,+256789534614,69652324,U3377800,9417690,Male,University,2023-05-02
James Namwalwa,5130cc3e-d01a-4620-997b-1effb05292a9,Fisheries,Gulu,+256796770828,62442743,U4746217,2420093,Female,Secondary,2014-07-04
Alice Florence,c62833ce-a743-4606-81a7-50c55fe5abc4,Services,Bwindi,+256751525084,65224910,U6999288,5817631,Female,Secondary,2006-07-31
Sarah Namwalwa,c3f83c23-1fc0-4748-aad5-c23fd2175b35,Fisheries,Mbale,+256799198044,42671732,U4817205,3882210,Female,Secondary,2015-12-23
Sarah Namwalwa,f25dfa8c-353a-43d8-8657-8259eb6f2564,Agriculture,Kisoro,+256795641316,37704711,U7247621,4282893,Male,Secondary,2008-09-25
Namwalwa Florence,5a450b80-127e-4ab8-836b-a85023e829ac,Agriculture,Mbarara,+256709984948,14647254,U6837027,2024210,Female,Vocational,2020-02-06
Florence James,b736df16-d6f2-4b09-9eff-aab4d1582e21,Services,Mbarara,+256778795181,34431795,U8339665,5601361,Female,Primary,2009-02-28
James William,7ee4acaa-21d5-417c-b662-267909f8697c,IT,Gulu,+256723982760,44273549,U2036400,9618510,Male,Secondary,2020-12-31
Sarah Jane,502ada93-8336-4604-bfab-adeb54ec7131,Services,Jinja,+256720151659,71695595,U5001020,1631592,Female,Vocational,2003-12-13
Sarah Alice,7a7cf1bf-429a-4dc6-8c2b-450331da0674,Retail,Gulu,+256729543343,34069505,U5679311,1197877,Male,Secondary,2005-01-09
Bridget Florence,9011af5a-3159-43e4-ae18-49d9caceb33b,IT,Kisoro,+256777100162,57736608,U5735821,7800833,Male,University,2022-09-05
Namwalwa Namwalwa,35a8ea30-4691-45dc-aca7-1828374ea0cf,Manufacturing,Entebbe,+256701292630,83664167,U7208715,7656060,Female,Secondary,2022-01-01
William Sarah,dae592be-d191-4830-ab01-f5f5723a6281,Manufacturing,Kisoro,+256762337784,12736992,U8440813,3943741,Male,Vocational,2003-09-24
Jane Florence,2445dce3-d9b8-42ea-87f2-a88ff407e298,Fisheries,Gulu,+256731666028,36370866,U7073147,5272876,Male,Secondary,2020-08-01
Bridget Namwalwa,dd4f1821-981e-4427-be20-49143e6d1a60,Fisheries,Entebbe,+256726165305,35854479,U8757695,4547878,Male,Primary,2004-02-05
James William,f4b04356-03a7-4e13-bc55-b084f677ae87,Agriculture,Mbale,+256779371775,26905014,U2312358,8044658,Female,Vocational,2009-11-17
Nansukusa Nakinobe,2b269a4c-40f2-4362-b5a1-5ccf1cd27c9d,Agriculture,Kampala,+256763706408,96376597,U7591133,6879269,Female,Secondary,2007-07-28
Sarah Nansukusa,61ca0c4d-cb9b-4453-8af3-cd3db7933171,Agriculture,Kisoro,+256705671610,15118067,U2955829,1199111,Female,University,2011-10-30
Jane Alice,6c154a8b-a043-450d-89a6-d2d7b1c77f13,Services,Kisoro,+256708047773,41105581,U3494042,1940014,Male,Secondary,2009-06-17
Jane Bridget,dc49dd68-2757-409f-a88e-76ff43d2c309,Services,Jinja,+256706931660,17386534,U4914591,5746969,Female,Primary,2005-10-19
Sarah Jane,e75663b2-bd1f-44a6-82b0-4b52b9f9b688,IT,Fort Portal,+256789540841,31765213,U2190762,7355276,Male,Primary,2004-11-04
Namwalwa Bridget,fbce6a1a-a6b7-4c4f-aaeb-30228928eb17,Hospitality,Jinja,+256773466554,82992113,U1737833,7984664,Male,Vocational,2014-01-08
Jane Florence,3fa9d067-a479-4db9-b932-35af269d9bef,Retail,Mbarara,+256709796542,87388434,U7653825,1623102,Female,Primary,2015-04-04
Namwalwa Nansukusa,3006edd0-331c-4151-8dc8-0e17c3dfc91b,Fisheries,Jinja,+256730807597,56792067,U4446226,5784345,Male,Primary,2018-02-06
William Sarah,6409c12b-85df-48f7-b4a2-f920baf34db6,Manufacturing,Mbarara,+256753543344,95701200,U5642942,4804077,Female,Vocational,2008-02-05
Nakinobe James,19862fba-5cb5-479d-b441-0ae82a36159e,Retail,Bwindi,+256728332928,69841815,U6355385,3311258,Female,Secondary,2023-03-13
Florence Namwalwa,279ed050-5d3b-49b9-ba31-845c7bb5bff4,IT,Fort Portal,+256758179965,27574364,U3411747,1673720,Male,Primary,2010-04-13
William James,680e415b-bf2b-42b9-8016-9afa88c925b6,IT,Bwindi,+256744399371,16801557,U8024903,8022701,Male,Secondary,2019-11-17
Nansukusa Nansukusa,8c993ff7-73c5-4618-a2a5-245584feda33,Retail,Kampala,+256737773843,44327382,U1510663,3716892,Male,Primary,2019-07-15
Namwalwa Nansukusa,83ec2d43-ee6d-4ca8-9e57-736f272b443e,Services,Bwindi,+256768677171,61277031,U9568729,4396330,Male,University,2011-08-02
Namwalwa Alice,adbf8f00-d456-46e4-9abf-2ddb9ca92cdf,IT,Bwindi,+256702563106,78098289,U6857016,6525349,Female,Secondary,2021-02-07
Namwalwa Sarah,897d4cc3-44e6-442b-8723-2492ed3bceca,Agriculture,Mbale,+256734564419,62766470,U1541011,4487819,Female,Vocational,2009-09-10
William Florence,a91039a0-68f0-45de-943f-6c907f29f983,Manufacturing,Kisoro,+256770699238,53298982,U7538446,2109919,Female,Vocational,2021-04-07
Sarah Alice,608322d1-9637-477e-837b-f224b41f8575,Retail,Mbarara,+256726228179,66113473,U7087213,9592985,Female,University,2022-08-27
Alice Bridget,6df2c492-052a-4d65-a5d9-4a44b52cc1ba,Agriculture,Kisoro,+256752321361,26663034,U3619026,5840227,Male,University,2008-10-29
Nakinobe Nakinobe,b5a698f1-9571-4d9b-a873-6b70e573cb97,Fisheries,Lira,+256734699732,99774882,U7028420,7105616,Male,Secondary,2009-08-09
Florence Florence,433a8bfb-9844-4612-a5a7-41f08c6841ca,IT,Bwindi,+256776629109,82489251,U7100232,3725178,Male,University,2010-02-23
Nakinobe James,d65bc1dc-a13e-4508-bbfa-febb8641f6e6,Fisheries,Lira,+256781239119,67899286,U9028068,1220747,Male,Secondary,2016-08-18
Namwalwa William,9ff7dd2e-2e76-4b66-8269-d3c757ff0e1d,Services,Lira,+256715693790,25551923,U8561976,8551316,Female,Vocational,2006-11-28
James Alice,a54b3ea8-3964-403d-8931-6f21ce9fb0c5,Agriculture,Lira,+256706330279,27027886,U5341987,9651155,Male,Primary,2015-07-14
James Namwalwa,633c536e-c51b-4c12-9bad-905bd5c2669d,Fisheries,Mbarara,+256710784653,50057195,U6572500,6691680,Female,Primary,2007-09-02
Nansukusa Nansukusa,c53f39e1-026f-4b74-9bf2-d63af83c21d1,Services,Kisoro,+256741551642,52055041,U4911681,4211312,Male,Vocational,2008-09-08
Sarah William,3e7fde53-cb69-4488-a06d-5f6ddfb95cdd,Fisheries,Kisoro,+256753240032,74330961,U2697632,7841181,Female,Vocational,2018-11-21
Florence Alice,c1de1b2a-53be-4dd5-9cd6-5edf7500a288,Agriculture,Fort Portal,+256767901551,21954357,U7802083,2643841,Male,Primary,2008-11-25
Florence Nakinobe,1269faca-9712-4312-a1ce-045563a1fe0b,Retail,Fort Portal,+256755648263,93159959,U9695225,2277507,Male,Secondary,2011-05-26
James Namwalwa,7935ab39-aa61-4eeb-b4ea-c1c6123735d0,Retail,Mbarara,+256768635366,43895057,U4648786,9902580,Male,Secondary,2014-11-28
Namwalwa Nakinobe,f33c9b82-668c-4e6c-9353-22eae9f6c08d,Manufacturing,Jinja,+256751408052,42964112,U1181284,8838646,Male,Secondary,2010-04-21
Bridget Florence,e21ea1ca-0f50-45f2-a4cc-9a35830f6298,Fisheries,Mbale,+256761474985,24782326,U6012586,9816914,Male,Vocational,2023-03-18
Nakinobe Alice,e3274fa8-952d-4c3a-962a-812a1253fa77,Hospitality,Fort Portal,+256778641489,11049638,U7059739,5786242,Male,Secondary,2005-07-09
Alice Florence,9ed4eb4d-9086-4397-a3e6-a24df31ff7ee,Agriculture,Kisoro,+256712302004,43453920,U3854142,6942558,Male,Primary,2020-04-08
Namwalwa James,5fc07ee9-5c8e-4e7b-a8ea-8235e46001a3,Agriculture,Bwindi,+256796336817,54915652,U1873526,8124809,Male,Secondary,2008-05-18
James James,a076b267-c2fb-4dde-87c8-cec9b924ac5c,Retail,Mbarara,+256707149969,52724027,U1476498,8268689,Male,University,2005-12-31
Alice Nansukusa,2b65d10e-9400-486b-9a4f-1353d2868f44,Agriculture,Mbale,+256783526026,11667801,U4233523,2799120,Female,University,2015-11-22
Sarah Florence,8c09482f-3345-4f6f-aad6-4e87734180df,Manufacturing,Mbale,+256703402430,46373039,U3859793,4326804,Male,University,2018-01-24
William James,37e28dc4-3d08-4bfa-ba96-a4ed496fd154,Agriculture,Gulu,+256758143002,71836288,U1335703,6445487,Male,Secondary,2020-11-26
Florence Nakinobe,1a9882cd-e8f2-4232-ac38-95a114f41a30,Manufacturing,Kampala,+256756391010,36120061,U4223547,7448249,Male,Primary,2007-05-06
Nakinobe Bridget,a4a54888-5f44-4813-b0ed-f01a0b2c59f9,Retail,Gulu,+256718168401,14273557,U6365704,8981944,Male,Primary,2014-01-20
Namwalwa Nakinobe,d25bee51-93e7-4422-a2ce-a508ced42ed6,Agriculture,Gulu,+256736901198,80904147,U4592400,8396514,Male,Secondary,2018-01-28
Jane Jane,63b2dfdb-eea7-4aae-9850-9fb64004fd9f,Services,Mbale,+256736758697,29559463,U3380703,2731263,Female,Secondary,2006-03-14
Jane Sarah,6e609fee-b2c6-4504-8d03-f8d2e5d9f6c8,IT,Kampala,+256708620232,26747945,U1314836,1523882,Female,Vocational,2021-11-10
Bridget Sarah,a2161e54-b1bd-4fb7-ad6a-cb92b3de6021,Retail,Mbarara,+256798096191,41545110,U5920706,5154970,Male,Secondary,2005-12-19
William Alice,8e8f794e-8600-4f00-af5d-b41c80b22104,Fisheries,Gulu,+256792561697,44523020,U9259765,6279482,Male,Vocational,2016-02-29
Jane Jane,b4f5029e-7bb8-4a5d-a2d8-4593c29ec54e,Retail,Mbarara,+256717456666,86215853,U6199270,2524887,Female,Secondary,2014-06-09
Nansukusa Namwalwa,9925149f-337b-4cf4-930c-f826a0a55f9b,IT,Mbale,+256771272679,27296695,U2007537,6011414,Male,Secondary,2008-01-25
Sarah Florence,7b657f63-4092-4298-b8f8-12eac84c365c,Agriculture,Jinja,+256735125496,29168639,U2907354,6885077,Male,Vocational,2019-02-25
Sarah Sarah,7a60a275-941c-429b-b798-66b8a03a4253,Agriculture,Mbarara,+256720202630,88553857,U1418682,1143413,Female,Secondary,2022-09-20
Namwalwa James,031b6d67-21de-420c-9b7c-330ce20617c2,Manufacturing,Lira,+256731902013,70136832,U8315508,8425695,Female,University,2006-04-25
Bridget James,9bd1c4c4-65bf-42ce-a940-21352402ac19,Retail,Fort Portal,+256752479306,73570874,U3762830,7695815,Female,Vocational,2020-10-28
Bridget Alice,05346bbb-f6f7-48b7-8f34-b3dbd5a35620,Manufacturing,Lira,+256723591335,64287365,U1445685,8554721,Female,Primary,2005-02-01
Bridget Sarah,0461ea95-ac7c-4c09-b597-ac27f7de38ae,Agriculture,Jinja,+256708731948,30162596,U9382708,3423384,Female,Vocational,2010-09-13
Florence Bridget,92fbdd91-c7c7-4ebd-bbca-cb370e346da3,Manufacturing,Gulu,+256759992702,94596018,U5669345,3993212,Female,Vocational,2007-12-21
Bridget Jane,e095bdc6-7bfd-457d-af05-b8a3ad2d366c,Agriculture,Entebbe,+256726541574,98284636,U2041525,3448654,Male,Vocational,2006-06-07
Namwalwa Nakinobe,5d2020a3-767c-4ba5-8451-f4e31c09d756,Agriculture,Kampala,+256701506162,30064921,U2153121,1361973,Female,University,2012-12-20
William Nakinobe,b0fbd3ad-e329-4ccc-81ff-c60334ae9be5,IT,Lira,+256720049147,63079488,U1177700,5767864,Male,Secondary,2012-05-23
Nansukusa Florence,49858d6d-b0ab-4f74-951b-79e8b3e5a849,Services,Bwindi,+256774164238,66462917,U2196329,9370557,Female,Vocational,2011-01-25
William William,b949659e-d372-43b0-b617-c66ba6e15d30,Retail,Gulu,+256738867757,25704585,U6750726,4552561,Male,Primary,2011-03-10
Bridget Namwalwa,266d370c-a5a0-439c-8b93-56667819c0e9,Hospitality,Kampala,+256766710834,25994165,U1611395,6806776,Female,Secondary,2014-12-28
Nansukusa Jane,beb8a235-bc80-45f7-8727-18dac13cc18e,Retail,Lira,+256706308826,22172498,U4380495,8946778,Female,Secondary,2017-02-07
Sarah Florence,3f8279d1-dd9b-4089-9a69-4cae28b01419,Agriculture,Lira,+256740825048,54409152,U2360636,5644941,Female,Vocational,2015-03-12
Namwalwa Bridget,5f526c21-41e6-43f0-8525-7ce013aaa94c,Services,Jinja,+256784772040,76123197,U8996243,6810436,Male,Secondary,2021-01-15
Alice Jane,b2b8cfcd-e369-45e9-b31d-1bda1536562e,Hospitality,Jinja,+256765427095,89161130,U4316847,6040284,Female,Vocational,2016-03-21
Jane Alice,cdd91690-c960-42dc-bd63-0d75386a5fb1,IT,Kisoro,+256732558057,84746889,U7464716,2200056,Male,Vocational,2008-04-03
Jane Nakinobe,94dc2852-b02f-4fdc-b41f-5d96fd8d3df4,IT,Mbarara,+256735161282,77095887,U5467290,4806561,Male,Secondary,2017-03-11
Jane Nansukusa,9715e5f0-c1b0-43bb-bcd8-6c46c8e5143c,IT,Mbale,+256771388937,51318974,U3856447,7587703,Male,Primary,2008-05-24
Alice James,6d3154df-ee71-4afb-813d-7eb770756506,Hospitality,Kisoro,+256744295092,22545232,U3546704,3338438,Male,Secondary,2018-09-08
James Nakinobe,c9d3a496-301c-416f-b4a9-fee4ac5adfae,Hospitality,Bwindi,+256783648618,97940495,U6726897,4205251,Female,University,2007-06-03
Nansukusa Nansukusa,f883b23a-5cbb-427a-92e3-b35ed1a5c957,Fisheries,Kampala,+256782587554,81213298,U2018630,1677938,Female,Primary,2013-05-29
Nansukusa Nansukusa,1cc5a4e6-a7ee-48a7-8096-5c52a1923fe8,Manufacturing,Kisoro,+256736879334,60116104,U8919028,9799140,Female,Vocational,2017-05-13
Florence Jane,c9b6589d-0efc-47a8-8d92-641d2c1292d1,Agriculture,Fort Portal,+256759681306,41238559,U5738699,6182152,Male,Primary,2010-10-14
James Nansukusa,398cdb3c-1ee7-4f10-bdba-2ad164bbd32e,Manufacturing,Entebbe,+256701870172,80012826,U4930363,3302901,Male,University,2008-02-02
Bridget Namwalwa,55b83c47-6b4b-4430-bb87-4e97525ac50a,Manufacturing,Jinja,+256726384309,11244473,U4091739,3090583,Male,Vocational,2005-03-10
Namwalwa Florence,6b2870a6-67be-4a5c-b4ff-c98a64af7bc2,Agriculture,Bwindi,+256789221648,39594014,U2667211,7101601,Female,Primary,2017-10-18
Sarah Namwalwa,db104b0a-493b-41cb-9ba8-681a571fc9f9,IT,Bwindi,+256758005692,54025962,U4115919,3958534,Female,Vocational,2006-11-05
James James,d8ec0ca3-ee75-4f16-a6a1-82c01fffec9a,Fisheries,Jinja,+256753063966,71220070,U4664102,5921286,Female,Vocational,2004-03-12
Nakinobe William,25f871ab-890f-404a-8a17-a9aa84a0b63e,Hospitality,Jinja,+256729052735,11941527,U7851402,3266400,Female,Secondary,2006-04-12
Sarah Namwalwa,ab1867ce-fdb9-4453-b9ea-129aae7b8138,Retail,Jinja,+256777571684,48225113,U3290682,6832817,Male,Vocational,2006-04-04
Nansukusa William,46a60aa6-c104-4345-8e16-ebf9209a35e5,Retail,Lira,+256772547695,97379427,U6833041,9856106,Female,Vocational,2022-10-03
